what_about,how_difficult_for_children,time_around_children,tech_diffs,other_comments,participant_id
working out how others think,4,1,no,no,90
Guessing how children give clues,3,1,No,No,91
association,2,5,no,,92
guessing the intention of the child,3,2,no,no,93
Predicting peoples thought processes,3,5,no,no,94
Our perceptions of how children make decisions,3,2,No,N/A,95
Children's recognition skills,1,4,No,"I really enjoyed it, thank you.",96
no ide,1,5,NO,NO,97
Helping a child select the best shape,5,3,No,I feel the instruction for the study coulkd be made more clear,98
working out patterens and how to solve puzzles.,4,4,no,no,99
not sure,3,2,no,no,100
Trying to think like a 4 year old,4,4,No,n/a,101
Not sure,2,5,no,,102
No idea,4,2,no,,103
chosing colours and shapes,3,2,none,none,104
seeing how we think chiildren would think logically when trying to give other people information indirectly,3,2,no,,105
Unsure,4,3,No,,106
unsure,3,5,no,no,107
Seeing if adults and children think the same,1,3,no,no,108
Visual clues.....guessing which is closest to the answer,very easy,I have 2 children!,a couple of the slides seemed to jump to a next one?,,109
It's either about probability or logic understanding,4,5,no,,110
How well a child can think through the process of directing when options are not obvious,5,2,0,,111
The way childrens mind's work,4,5,no,,112
Understanding how children would communicate when not all the information is given,2,2,No,No,113
It was to gauge an understanding of a childs interpretation to shapes and colours,2,5,None,n/a,114
To see how well children could learn about shapes/colours to solve simple problems.,2,1,,,115
See if children can notice the difference in shapes or colours,4,5,None,None,116
decision making in 4 year olds,4,5,no,,117
Understanding how children's minds select shapes/memorable items,3,1,No,,118
seeing how much much ability I credited the children with for selecting the best option,4,3,no,,119
interpreting communication,3,2,no,,181
The tendencies of people to trust children's instincts in giving hints,2,1,No,,120
Process of elimination,4,5,No,No,121
communication,3,3,none,,182
perception,5,5,no,,122
How well children could explain things using visual clues?,3,5,No,No,123
The reasoning of individuals,3,3,No,No,124
To see if people picked the same hints as the children.,2,4,No,No,125
unsure,2,1,no,,126
guessing what shape the child wanted us to pick,3,5,,,127
"Not sure, but could it be seeing whether people go for the obvious",3,3,none,none,128
About gathering clues to make the right decisions.,3,1,No.,Study is interested for you to collect information in order to make a decision.,129
perceptions of different images,4,2,no,no,130
I honestly don't know,4,5,no,no,131
predicting what children would choose based on the information provided,3,5,no,no,132
image association,3,5,no,no,133
Not too sure. Maybe to see if children look at colours of shapes more? How they communicate non-verbally.,3,2,No,,134
probability,easy,2,no,no,135
I think it was about finding out if an adult can correctly guess what possible decision a child would take with regards to colors and shapes.,3,1,No I did not,It was an interesting study.,183
Understanding child psychology,4,1,,,136
Children's reasoning skills,3,1,No,No,137
How children select shapes and colours from information given to them,3,5,no,no,138
Spatial and Colour-related reasoning,2,3,no,Thank you,139
Understanding how non verbal communication works with small children and adults,2,5,,,140
Difference between adult and child thinking,3,5,No,,141
simplicity of child's choosing,1,1,no,no,142
To see if an adult can put themselves in the mindset of a child,4,5,No,,143
To see how information can be conveyed in a limited way,2,4,No,NA,144
Whether children would consider both shapes and colour when expecting someone to pick a shape,4,1,No,No,145
Children's ability to help choose the correct shape using limited options,4,3,No,,146
Something to do with how we estimate statistics,1,1,no,no,147
Different ways something or images could be interpreted despite the individuals intention.,2,5,no,no,148
odds,2,0,no,,149
logical thinking,3,3,no,,150
How we interpret younger peoples signals and how that might be different from if adults gave the same signals,2,1,N/A,,151
ability to think logically,2,2,no,it is difficult as the preschool children I know have different levels of understanding,152
Communication and whether people prefer to use shapes or colours,2,2,No,No,153
No idea!,3,1,no,none,154
"How we are able to interpret children's thought processes, and how they approach the study",2,5,No,No,184
The outcome of a persons decisions or answers from suggestions given to them,1,4,no,no,155
Predicting how children made decisions,3,5,No,No,156
probability,"i think it was easy, so long as they stayed focused",i have two older children of my own and i was a childminder for 6 years,none,,157
not sure,3,3,no,,158
Choosing the correct shape with yellow background from the Childs clue,3,1,no,no,159
childrens thinking,4,4,no,no,160
Theory of mind,4,5,no,no,161
