itemid,msg,target,competitor,distractor,prob_target,prob_competitor,prob_distractor,explanation,strategy_tag,strategy_subtag,notes,participant_id
1,tr,tr_bl,tr_re,sq_gr,100,0,0,because she didn't choose red,correct_reasoning,NA,,90
1,tr,tr_bl,tr_re,sq_gr,75,25,0,No blue paint was available to choose,correct_reasoning,NA,,91
1,tr,tr_bl,tr_re,sq_gr,50,50,0,shape matches both,guess,NA,,92
2,tr,tr_bl,tr_gr,ci_re,50,50,0,chose 50% for both of the options that have the same shape,guess,NA,,93
2,tr,tr_bl,tr_gr,ci_re,51,49,0,It could mean either triangle,guess,NA,,94
2,tr,tr_bl,tr_gr,ci_re,50,50,0,"The child is intending for you to pick one of the triangle shapes - in hindsight, it might be more likely to be the blue triangle (as if it was the green one they could have selected the green colour)",guess,NA,changed their mind later but still explains their decision,95
3,ci,ci_bl,ci_re,tr_gr,100,0,0,Where there wasn't colour options the children chose the shapes. So it was just working out what colour and shape wasn't in the options.,correct_reasoning,NA,,96
3,ci,ci_bl,ci_re,tr_gr,50,50,0,because it could be either circle,guess,NA,,97
3,ci,ci_bl,ci_re,tr_gr,57,43,0,"I consider the shape and the colour the child has chosen and what relates to them in the options.

I will then sum them up to a 100",unclear,NA,,98
4,ci,ci_bl,ci_gr,sq_re,0,100,0,It is more likely they choose green as choose a circle and it could not be a blue circle so it had to be a green circle.,misunderstood_instr,NA,,99
4,ci,ci_bl,ci_gr,sq_re,50,50,0,There was an equal chance of either circle,guess,NA,,100
4,ci,ci_bl,ci_gr,sq_re,87,13,0,There is no blue option so they could have chosen circle because of that but it could be for the green if they just chose the circle as of the shape over the colour.,correct_reasoning,NA,or meta_reasoning?,101
4,ci,ci_bl,ci_gr,sq_re,50,50,0,It could have been either circle.,guess,NA,,102
4,ci,ci_bl,ci_gr,sq_re,50,50,0,"Child chose a circle, there are  2 circles so 50% chance of either being correct",guess,NA,,103
4,ci,ci_bl,ci_gr,sq_re,50,50,0,"there are the only shapes to choose from that would be the kids choice,",unclear,NA,,104
4,ci,ci_bl,ci_gr,sq_re,73,27,0,"because it has to be a circle, and there isn't an option to choose blue. So the empty circle would be the correct choice from the child if the blue circle had the yellow background, but I don't know how good kids are at thinking logically like that.",meta_reasoning,NA,,105
